id,url,text,topic,sentiment,location,created_at,retweet,,,
1.46E+18,https://twitter.com/twitter/statuses/1462917906891739141,"You can actually choose to be on the black line or the orange line.		I already chose the black line. I suggest that you do as well.		#COVID19 #Cdnpoli #GetVaccinated https://t.co/kSLLEf0lIc",o,neutral,ontario,Mon Nov 22 22:56:23 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462916476759805957,@shantismurf @AstonOrwell And btw I'm not an anti-vaxxer I'm pro-choice,vd,positive,canada,Mon Nov 22 22:50:42 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462896435674836995,"COVID-19 deaths: ~25k for Canada. Total excess deaths (more than predicted from past years): ~15k.  That means about 10,000 people who normally would have died from diseases other than COVID-19 did not die, due to masks, distancing, isolation, etc.  		https://t.co/HXKkRcD0VA https://t.co/eu790b3mXK",i,neutral,canada,Mon Nov 22 21:31:04 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462899585429475328,"As everyone around me knows... I've been eating, sleeping and breathing vaccines for MONTHS		#provax https://t.co/aklq3ETuUA",ci,negative,canada,Mon Nov 22 21:43:35 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462933559589572612,@TheGMan_2021 Surely you see. 馃槀 I鈥檓 going to start using that as my go to phrase. I like it.  It sounds fancy. Surely you see that Vaccines are effective. Surely.,vd,positive,canada,Mon Nov 22 23:58:35 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462925294814187522,"Compulsory vaccination is a crime.		Violation of:		1) Nuremberg Code	2) UNESCO Universal Declaration on Bioethics and Human Rights (art.6).	3) UN International Covenant on Civil and Political Rights (art. 7).	4) UN Universal Declaration of Human Rights (art. 3).",vd,negative,alberta,Mon Nov 22 23:25:44 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462913285175578628,The minute you push back on the sh*t from these antivaxxer assh*les they do this. This special one suggested that vaccines are tantamount to suicide. She actually tweeted that. I called her on her shit and reported her. https://t.co/IWtyhHUBfQ,vd,positive,ontario,Mon Nov 22 22:38:01 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462928268600958983,@catturd2 He forgot to mention it is the testament to the previous administration who handed you a thriving economy and developed vaccines. Do not ruin in Joe,vd,positive,canada,Mon Nov 22 23:37:33 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462920530735124483,"Actuallly Jane, even if the vaccines ""worked"" there is still no justification for any govt to threaten, fire and punish the people of any free society for the ""greater good""		But yeah,I hear ya. https://t.co/d2zfzgxDAT",om,positive,yukon,Mon Nov 22 23:06:48 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462929234817650691,"I can see why someone with an account ""WhySharksMatter"" might be upset. 		For example, I get really upset when people misrepresent what vaccines do for our health. https://t.co/BHj6sMftf5",vd,neutral,ontario,Mon Nov 22 23:41:24 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462915132678365185,Glad to see a favourable response to this column from October (under a new premier). #wfp  @winnipegnews https://t.co/H7m5kJV862,o,neutral,canada,Mon Nov 22 22:45:21 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462892815265017859,"@juliaeastabrook Definitely important to plan for the kids #FluShot. A bad one has been going around #ldnont, hitting kids hard. You are so right; we're very lucky to have easy access to these vaccines. #ProtectOthersProtectYourself",cv,positive,ontario,Mon Nov 22 21:16:41 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462900332661379074,"Residents in Leeds, Grenville and Lanark counties can already book vaccination appointments for children between the ages of five and 11. https://t.co/78fDs4pS7U",cv,neutral,canada,Mon Nov 22 21:46:33 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462925634397741060,"Vaccines were supposed to be the way to freedom, they're clearly the way to more authoritarianism. The world has been conned, big time.",om,negative,canada,Mon Nov 22 23:27:05 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462909678086766593,"@OfColleen @jmask @CDNKilkenny @gmbutts Unreasonable was the Feds blaming the Provinces (who already had the capacity to jab 200k per wk for the regular flu in QC) for not jabbing more citizens during these 4 months with vaccines they didn鈥檛 have.		While airports remained open.		The finger pointing was embarrassing.",vd,neutral,canada,Mon Nov 22 22:23:41 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462927264752881664,"@NormRobins8 @peakduck @IanBuchanan14 @ColeyT Not going to comment on this because it is so highly biased a publication. There are risks and benefits. The benefits grow larger as the prevalence of COVID increases and depending on variants.		https://t.co/LMgBWUGwt1",om,neutral,canada,Mon Nov 22 23:33:34 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462897726367178752,@CPHO_Canada Dr. Tam..can you provide recommendations about segregation of unvaccinated children from seniors at mass vaccination sites鈥r alternate days?,cv,neutral,ontario,Mon Nov 22 21:36:11 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462926110396665858,"1/ Ontario will roll out #COVID19 vaccines for 5-11 yr olds this week &amp; doses will be separated by 8 (or more) weeks as per the recommendation by NACI.		Vaccines will be available in Family Docs offices, pharmacies, mass vaccine clinics (including some schools, etc).		Good stuff! https://t.co/H5m325LAF8",i,neutral,ontario,Mon Nov 22 23:28:59 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462930724785426439,Vaccination policy dogs Erin O鈥橳oole as Conservative MP tests positive for COVID-19 https://t.co/wVkTyzs0v7 https://t.co/ewUVPE4Cyf,i,neutral,alberta,Mon Nov 22 23:47:19 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462930540764352517,"What does mandatory vaccines even mean?	The day we pin someone down and force something into them without their consent will be a very dark day for humanity.",om,negative,alberta,Mon Nov 22 23:46:35 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462906559558737934,"@tuvya68 @supercazzola773 @garden_nome1 @peggy_blair @Chapmans_Canada Source #2: https://t.co/RaW3lwfXML	5/N",o,neutral,"fredericton, new brunswick",Mon Nov 22 22:11:17 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462901729150726146,Are the new #COVID19 antiviral pills a pandemic game-changer? by 鈦picardonhealth鈦?via 鈦GlobeDebate鈦?#vaccination  https://t.co/0wvD1vhidF https://t.co/m69SCY9uZf,o,neutral,edmonton,Mon Nov 22 21:52:06 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462902944504991750,"** COVID-19 UPDATES **		Newly accepted COVID-19 vaccines!		For more details:	https://t.co/ohOmSg75jh		#ECC #eccasr #Flight #Air #Travel #COVID #COVID-19#Updates #Canada #cometocanada #educationcanada #internationalstudents #highereducation #studyincanada #come #study #studyabroad https://t.co/nyknIWUcm7",o,neutral,canada,Mon Nov 22 21:56:56 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462932647886442507,"鈥淚t鈥檚 very encouraging to see that many thousands of people jumping on booking appointments within hours of it being available.""		https://t.co/DNoDi5q0zE",ci,neutral,manitoba,Mon Nov 22 23:54:57 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462917894904320000,"Get your 1st, 2nd or 3rd vaccination (if @AHS_media required) at the mobile vaccination station here today:		馃搷 @CalgaryLibrary (@EastVillageYYC)	馃搷 Anderson LRT Station	馃搷 Saddletowne LRT Station	馃搷 Somerset LRT Station	馃搷 Seton		More info at https://t.co/jLGhNgaXMe",vd,neutral,canada,Mon Nov 22 22:56:20 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462899661765758979,"Parents in the #Halton Region, you can book #COVID19 vaccine appointments for kids 5-11 tomorrow on the Halton Region online booking site. First available appointments will be on Friday this week. @CHCHNews   https://t.co/FSP4FQRQDx",cv,neutral,ontario,Mon Nov 22 21:43:53 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462899479384936451,@JohnMcEwen21 @luvcaffeine @HSmythe10 @davidakin Troll. The vaccines are not 100%. You know that.,vd,neutral,canada,Mon Nov 22 21:43:09 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462918972089720833,@_Bak3dPot4to_ @chelscuthbert Tells you that vaccines aren鈥檛 a cure 馃馃徎鈥嶁湀锔?<TOPIC>,vd,negative,ontario,Mon Nov 22 23:00:37 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462910068727312384,"An Alberta-based rental housing provider says it hopes to set a precedent with its decision to require proof of COVID-19 vaccination from new tenants.		https://t.co/EEv6TTqr8C https://t.co/aAgGsHiCgw",vd,neutral,british columbia,Mon Nov 22 22:25:14 +0000 2021,TRUE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462908813162561540,"The Idaho Legislature considered amending the workers鈥?compensation law in Idaho to include vaccine injuries, but the state has already paid out more than $2 million for COVID-19 illnesses and vaccine injuries. https://t.co/HDUicVL80U",i,neutral,canada,Mon Nov 22 22:20:15 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462917671817605121,"@jonathanwhudson @MattRoseYYC Thanks, Matt was just on 960 and said they will not have a full line up for Sunday due to Vaccination requirements",vd,neutral,alberta,Mon Nov 22 22:55:27 +0000 2021,FALSE,,,
1.46E+18,https://twitter.com/twitter/statuses/1462908821894955010,@DavidDa111877 You have 6 times the risk of spreading the virus if you aren鈥檛 vaccinated. So vaccination matters to the people you are around in a big way. The QR code means we can be confident that those people around us are WAY less likely to share the virus with us.,vd,positive,alberta,Mon Nov 22 22:20:17 +0000 2021,TRUE,,,
